promise_id,customer_id,order_id,promised_amount,promise_date,promised_window_days,agent_notes
PRM-200035,USR33834,ORD100035,12999.99,29/06/2026,7-11,
PRM-200036,CUST72402,ORD100036,1999.00,2026-06-25,3-7,Customer escalation - refund approved to close ticket
PRM-200037,USR82140,ORD100037,3500.00,2026-06-17,7-10,"Refund approved, item damaged in transit"
PRM-200038,USR46241,ORD100038,4999.00,24-Jul-2026,7-11,"Wrong item received, refund approved as goodwill"
PRM-200039,CUST93606,ORD100039,INR 999.00,2026-06-07,3-5,Refund approved per return policy after inspection
PRM-200040,CID92502,ORD100040,299.00,08-Aug-2026,5-7,Approved partial refund per manager discretion
PRM-200041,CUST89905,ORD100041,"INR 7,999.50",23-Jun-2026,5-8,Refund approved per return policy after inspection
PRM-200042,USR47056,ORD100042,1499.00,17/06/2026,5-8,
PRM-200043,CID47828,ORD100043,2999.00,26-Jul-2026,3-5,Refund approved per return policy after inspection
PRM-200044,CID85392,ORD100044,299.50,15/07/2026,7-10,
PRM-200045,USR97835,ORD100045,"INR 10,000.00",2026-06-17,5-7,"Duplicate charge, refund approved by billing team"
PRM-200046,CUST96200,ORD100046,499.00,2026-08-02,5-8,Approved partial refund per manager discretion
PRM-200047,USR25915,ORD100047,1999.00,11-Jul-2026,7-9,Customer escalation - refund approved to close ticket
PRM-200048,USR64459,ORD100048,12999.00,2026-06-14,7-9,Refund approved per return policy after inspection
PRM-200049,USR86931,ORD100049,2999.50,2026-07-13,5-9,Refund approved due to defective item
PRM-200050,USR15720,ORD100050,2000.00,28-Jun-2026,3-7,"Wrong item received, refund approved as goodwill"
PRM-200051,CUST63736,ORD100051,4999.00,2026-06-10,5-7,
PRM-200052,CUST40771,ORD100052,7999.00,2026-06-15,7-11,
PRM-200053,CUST42007,ORD100053,199.00,10/07/2026,5-7,"Duplicate charge, refund approved by billing team"
PRM-200054,CUST70981,ORD100054,INR 999.00,2026-07-15,5-9,Customer escalation - refund approved to close ticket
PRM-200055,USR85341,ORD100055,"INR 3,499.00",2026-08-03,5-8,"Wrong item received, refund approved as goodwill"
PRM-200056,CID96400,ORD100056,3499.00,2026-07-19,7-10,"Wrong item received, refund approved as goodwill"
PRM-200057,CID57953,ORD100057,3499.00,25-Jul-2026,7-10,"Wrong item received, refund approved as goodwill"
PRM-200058,USR11824,ORD100058,999.00,2026-06-27,7-11,"Refund approved, item damaged in transit"
PRM-200059,CUST93283,ORD100059,2499.50,2026-07-06,3-7,Approved refund - service not rendered as promised
PRM-200060,CID80804,ORD100060,799.00,2026-07-30,3-7,Approved partial refund per manager discretion
PRM-200061,CID58147,ORD100061,5999.00,17-Jul-2026,5-8,
PRM-200062,CID37152,ORD100062,INR 199.00,31-Jul-2026,5-7,Approved refund - service not rendered as promised
PRM-200063,CUST87182,ORD100063,2999.00,2026-08-13,3-7,
PRM-200064,CID39038,ORD100064,499.50,12/06/2026,5-8,
PRM-200065,CUST26540,ORD100065,15000.00,2026-08-06,5-7,"Duplicate charge, refund approved by billing team"
